ID;shape_Elongation;shape_Flatness;shape_LeastAxisLength;shape_MajorAxisLength;shape_Maximum2DDiameterColumn;shape_Maximum2DDiameterRow;shape_Maximum2DDiameterSlice;shape_Maximum3DDiameter;shape_MeshVolume;shape_MinorAxisLength;shape_Sphericity;shape_SurfaceArea;shape_SurfaceVolumeRatio;shape_VoxelVolume;firstorder_10Percentile;firstorder_90Percentile;firstorder_Energy;firstorder_Entropy;firstorder_InterquartileRange;firstorder_Kurtosis;firstorder_Maximum;firstorder_MeanAbsoluteDeviation;firstorder_Mean;firstorder_Median;firstorder_Minimum;firstorder_Range;firstorder_RobustMeanAbsoluteDeviation;firstorder_RootMeanSquared;firstorder_Skewness;firstorder_TotalEnergy;firstorder_Uniformity;firstorder_Variance;glcm_Autocorrelation;glcm_ClusterProminence;glcm_ClusterShade;glcm_ClusterTendency;glcm_Contrast;glcm_Correlation;glcm_DifferenceAverage;glcm_DifferenceEntropy;glcm_DifferenceVariance;glcm_Id;glcm_Idm;glcm_Idmn;glcm_Idn;glcm_Imc1;glcm_Imc2;glcm_InverseVariance;glcm_JointAverage;glcm_JointEnergy;glcm_JointEntropy;glcm_MCC;glcm_MaximumProbability;glcm_SumAverage;glcm_SumEntropy;glcm_SumSquares;gldm_DependenceEntropy;gldm_DependenceNonUniformity;gldm_DependenceNonUniformityNormalized;gldm_DependenceVariance;gldm_GrayLevelNonUniformity;gldm_GrayLevelVariance;gldm_HighGrayLevelEmphasis;gldm_LargeDependenceEmphasis;gldm_LargeDependenceHighGrayLevelEmphasis;gldm_LargeDependenceLowGrayLevelEmphasis;gldm_LowGrayLevelEmphasis;gldm_SmallDependenceEmphasis;gldm_SmallDependenceHighGrayLevelEmphasis;gldm_SmallDependenceLowGrayLevelEmphasis;glrlm_GrayLevelNonUniformity;glrlm_GrayLevelNonUniformityNormalized;glrlm_GrayLevelVariance;glrlm_HighGrayLevelRunEmphasis;glrlm_LongRunEmphasis;glrlm_LongRunHighGrayLevelEmphasis;glrlm_LongRunLowGrayLevelEmphasis;glrlm_LowGrayLevelRunEmphasis;glrlm_RunEntropy;glrlm_RunLengthNonUniformity;glrlm_RunLengthNonUniformityNormalized;glrlm_RunPercentage;glrlm_RunVariance;glrlm_ShortRunEmphasis;glrlm_ShortRunHighGrayLevelEmphasis;glrlm_ShortRunLowGrayLevelEmphasis;glszm_GrayLevelNonUniformity;glszm_GrayLevelNonUniformityNormalized;glszm_GrayLevelVariance;glszm_HighGrayLevelZoneEmphasis;glszm_LargeAreaEmphasis;glszm_LargeAreaHighGrayLevelEmphasis;glszm_LargeAreaLowGrayLevelEmphasis;glszm_LowGrayLevelZoneEmphasis;glszm_SizeZoneNonUniformity;glszm_SizeZoneNonUniformityNormalized;glszm_SmallAreaEmphasis;glszm_SmallAreaHighGrayLevelEmphasis;glszm_SmallAreaLowGrayLevelEmphasis;glszm_ZoneEntropy;glszm_ZonePercentage;glszm_ZoneVariance;ngtdm_Busyness;ngtdm_Coarseness;ngtdm_Complexity;ngtdm_Contrast;ngtdm_Strength
segmento_1;0.6897950729588467;0.0;0.0;35.930.647.933.489.400;32.099.999.999.999.900;22.2;384.942.203.453.973;384.942.203.453.973;661.121.250.000.457;24.784.783.912.739.900;0.2573254642029331;14.262.273.836.883.600;21.572.856.472.052.200;665.055;167.0;204.0;1027345792.0;14.471.487.526.580.300;19.0;3.449.835.299.598.020;251.0;11.653.765.880.938.800;18.583.442.722.782.300;186.0;129.0;122.0;8.085.898.957.412.380;18.643.214.689.396.600;-0.15296613458713137;23115280.32;0.4514055428945345;22.251.105.240.046.500;9.085.236.544.573.990;8.546.159.924.009.350;-0.36088269018653113;15.433.141.991.679.200;0.17715229119365947;0.7939103029291992;0.17681014091615144;0.6692345328439759;0.14486219775428588;0.9116519545881756;0.9116291445696751;0.9952134873337288;0.9747475182669338;-0.46671806438616303;0.855825851208057;0.1765107594233319;29.569.730.180.862.900;0.3387674215231439;21.976.762.131.530.200;0.8065496499599656;0.5432378004305363;5.913.946.036.172.590;20.188.651.470.084.300;0.4301166225903954;36.998.695.200.331.400;81.075.152.581.365.400;0.27429174024414865;3.168.853.423.226.430;1.334.264.503.687.660;0.4390690235829976;9.182.116.516.679.070;5.981.487.245.415.790;5.402.041.748.426.820;8.250.976.563.968.390;0.14259158077151515;0.026837515988482087;0.26163425139799273;0.0040925346719660905;18.160.603.361.966.800;0.33312312589155546;0.6840931228455509;9.674.887.722.036.950;8.337.984.975.248.030;7.482.865.826.896.970;10.619.737.971.143.400;0.1564247691618546;5.359.262.226.294.200;673.830.790.849.678;0.12034217613547603;0.18420562960958117;4.992.893.100.389.360;0.290839307750944;29.972.152.128.966.700;0.04666088536510943;10.632.386.363.636.300;0.30205643078512395;12.440.276.342.975.200;10.903.409.090.909.000;9.303.373.409.090.900;8.281.673.230.113.630;10.658.228.275.015.700;0.18894412878787878;35.0;0.09943181818181818;0.3003188257702234;3.331.736.108.224.620;0.04925153896192513;5.942.100.122.114.520;0.011908789498612897;9.232.861.128.292.870;8.303.307.537.334.080;0.0005176199467064907;28.334.895.199.645.200;0.005104396620776697;0.008499302143545115
segmento_2;0.251228279997574;0.0;0.0;4.234.690.398.815.040;37.05;9.9;3.824.411.719.467.450;3.824.411.719.467.450;3.338.700.000.001.350;1.063.873.985.216.540;0.30797679098981845;7.557.028.610.513.830;22.634.644.054.604.400;337.32;178.0;203.0;532981350.0;0.7875947735007844;12.0;4.418.827.316.632.170;247.0;77.666.372.616.800.800;18.828.175.026.680.800;186.0;157.0;90.0;5.334.197.992.456.480;18.854.986.226.539.300;10.480.247.112.326.300;11.992.080.375;0.710902653951905;10.103.307.676.580.800;4.569.125.752.524.320;19.579.407.749.995.400;0.5483853708979493;0.5532887295160712;0.07894396991504428;0.7494787583504734;0.07894396991504428;0.3954724560406622;0.07243660679560693;0.9605280150424778;0.9605280150424778;0.9953562370638209;0.9842112060169912;-0.49213698440525155;0.7237070812888726;0.07894396991504428;21.096.299.078.097.800;0.6521727325344462;11.523.234.783.733.300;0.7930188712999781;0.7993277556310366;4.219.259.815.619.570;1.073.379.508.458.280;0.15805817485777884;2.103.390.627.350.330;850.680.856.456.777;0.5674231966760785;2.323.954.561.607.520;10.657.852.588.046.900;0.1648755848369931;4.629.335.645.677.690;7.045.691.035.218.780;3.180.128.735.325.500;17.165.412.293.964.100;0.2524874377445749;0.02214374710477989;0.1005992275623341;0.008143557272617988;5.220.176.734.615.950;0.3724772662067247;0.5244077513163854;5.331.387.832.181.940;6.723.312.343.627.910;28.251.702.413.056.400;16.539.363.591.797.900;0.32901249375087566;5.336.038.605.220.290;17.516.421.835.949.500;0.12599096259724119;0.09321638207043757;5.231.568.773.597.280;0.33826903927916013;1.659.214.645.047.930;0.15537196187017052;48.2;0.45904761904761904;0.9148299319727893;39.523.809.523.809.500;15.030.462.095.238.000;6.138.647.476.190.470;3.724.031.957.671.950;0.6541005291005291;31.038.095.238.095.200;0.29560090702947844;0.5623903401592557;18.242.054.257.261.100;0.4012230048203882;3.809.444.775.892.740;0.007003735325506937;14.826.598.091.609.900;50.337.425.307.601.600;0.0018630449499773077;0.531104282815008;0.0022126741956535684;0.010369300237376831
segmento_3;0.24741978239661797;0.0;0.0;4.676.785.724.065.570;40.8;10.200.000.000.000.000;4.178.516.483.155.230;4.178.516.483.155.230;4.020.112.500.001.990;1.157.129.306.163.910;0.29252243874869965;9.005.000.545.727.080;22.399.872.007.866.900;40.578.749.999.999.900;175.0;199.0;629134568.0;0.8966499568362605;12.0;37.347.586.328.164.900;233.0;7.686.781.816.676.730;18.651.976.711.948.900;186.0;164.0;69.0;5.459.313.141.900.190;18.677.283.064.975.300;0.6489862095541203;14155527.78;0.677960476229529;9.446.674.261.280.290;4.119.883.645.901.650;2.461.052.568.696.090;0.05175452901292733;0.6440810697986407;0.10440039408287888;0.7204050524498511;0.10440039408287888;0.4801935892199654;0.0931803645250395;0.9477998029585605;0.9477998029585605;0.993858800348066;0.9791199211834242;-0.4443767125329097;0.7332873594689471;0.10440039408287888;1.996.235.164.301.650;0.597553182616453;136.777.796.511.078;0.7300982498458566;0.7657293653014777;39.924.703.286.033.100;1.263.377.571.027.900;0.1871203659703799;24.701.672.883.897.000;8.736.049.625.727.750;0.48439421268243704;2.792.558.793.320.660;12.227.017.188.799.500;0.19322607544136253;42.054.338.785.694.400;6.781.596.894.926.530;2.779.904.075.408.920;19.845.814.080.645.600;0.30662022918399406;0.02389579819390406;0.1050599444261784;0.009128881349354006;7.775.226.530.334.190;0.3683641976362784;0.534653397247921;4.741.262.428.503.990;4.006.022.627.089.130;16.190.052.688.452.900;10.391.766.470.512.200;0.3863747157961346;5.284.332.436.807.550;29.865.611.736.875.000;0.13985214594461368;0.1170363182700305;3.156.719.865.877.600;0.36335548810608465;18.193.554.827.318.700;0.1478834726320895;557.891.156.462.585;0.37951779351196263;0.9377574158915266;4.591.836.734.693.870;14.439.501.972.789.100;5.802.768.006.802.720;36.201.915.169.123.200;0.5640589569160998;3.120.408.163.265.300;0.2122726641677079;0.47163752045014296;18.373.297.775.853.000;0.2898652022685317;4.526.514.821.883.270;0.008150817854172442;14.288.980.789.485.800;8.507.700.304.392.590;0.0011670452320642233;0.7209963804236463;0.0034158897628024224;0.007068364095460613
segmento_4;0.4042923977550927;0.0;0.0;3.973.347.012.921.740;35.4;14.4;37.427.029.003.114.800;37.427.029.003.114.800;47.666.625.000.029.000;16.063.939.909.671.600;0.2820682746643496;10.461.793.685.266.100;2.194.783.810.529.850;4.802.625;159.0;187.0;635908820.0;10.141.082.544.704.200;15.0;26.436.328.947.487.900;216.0;8.692.833.343.237.650;17.227.678.613.258.300;171.0;149.0;67.0;6.467.502.591.379.890;17.260.339.936.942.500;0.48304922505622155;14307948.45;0.5219653078645665;11.264.243.370.947.200;5.900.257.999.142.230;1.538.539.094.294.880;0.536669472626112;0.9059467052023191;0.10392083375495562;0.7941931806403582;0.10392083375495562;0.47823410611987505;0.09275046875202132;0.9480395831225221;0.9480395831225221;0.9938870097791201;0.9792158332490088;-0.5201031610819618;0.8047322153037388;0.10392083375495562;2.387.415.046.272.210;0.43442769221819194;14.977.064.104.938.300;0.7963158176042572;0.5715161831913479;4.774.830.092.544.420;13.937.855.767.388.700;0.25246688473931866;26.870.113.676.250.300;10.326.115.483.719.800;0.4837721004319438;263.186.589.861.779;11.141.349.496.369.100;0.25313628060813764;5.964.441.321.152.490;6.802.384.633.403.600;393.756.148.981.026;13.659.431.040.316.400;0.19657023502771923;0.023151993376756067;0.14884941930495424;0.004323555188453746;11.478.331.010.024.700;0.4708395648395578;0.3088865625734778;691.709.011.048.898;41.772.536.068.988.700;2.145.564.329.743.120;9.128.235.168.024.510;0.17386057771673993;5.083.052.268.971.100;3.049.126.063.397.410;0.12501505561437182;0.11418364956664323;3.276.039.781.863.620;0.3333794241095513;2.334.741.136.514.970;0.058046361429066565;7.596.385.542.168.670;0.457613586877631;0.3424299608070837;7.240.963.855.421.680;12.868.472.710.843.300;6.870.433.210.843.370;2.738.543.554.216.860;0.17101740294511378;33.963.855.421.686.700;0.20460153868485992;0.46096452904676066;3.166.831.460.993.930;0.08428573754533152;4.308.064.033.382.140;0.007776996954790349;12.703.133.392.727.500;11.130.360.569.716.100;0.0009359608530863693;0.7253262181765577;0.004423538785301727;0.005416490528434642
segmento_5;0.32485787824859047;0.0;0.0;4.380.495.883.410.040;38.4;12.6;40.429.939.401.389.100;40.429.939.401.389.100;46.455.562.500.027.100;14.230.385.983.612.700;0.2826641415587928;10.262.154.652.871.100;2.209.026.024.141.920;468.315;147.0;175.0;536834054.0;10.958.151.029.278.600;15.0;339.064.104.035.988;221.0;8.540.128.862.530.520;16.024.675.699.048.700;159.0;137.0;84.0;6.357.213.178.250.350;16.059.878.436.567.500;0.6060747901127009;12.078.766.215;0.5792664932925151;11.294.641.376.462.200;3.964.102.506.708.940;33.069.992.459.811.800;-0.06564654589758138;0.9078579483421654;0.15410557810441894;0.7100157862197899;0.15391041046811654;0.6148370691389275;0.12947859169075557;0.9230773227053255;0.9230643115295718;0.990938410128616;0.9692244234942535;-0.40276161516744674;0.761461567797306;0.1537396387863519;19.431.068.418.093.800;0.45997138061595844;17.562.223.730.676.800;0.7216550232888982;0.6592679033835229;38.862.136.836.187.700;16.014.788.967.033.400;0.26549088161164613;31.553.039.969.919.000;6.862.776.880.945.510;0.3297192697677293;3.153.591.730.012.160;1.205.685.279.139.040;0.2640859596344785;4.044.825.598.155.080;6.224.118.381.858.360;24.502.531.949.649.200;21.299.468.573.502.800;0.3555919893661318;0.02684610332750092;0.12006624180497251;0.010491448436072753;13.182.311.870.972.600;0.38494441085295383;0.492643788973135;4.436.148.117.082.460;12.708.836.489.664.600;50.726.166.195.382.900;3.739.581.502.783.970;0.4045507314380514;5.169.814.106.610.510;4.262.867.911.991.510;0.12190639192078337;0.1641443259344672;8.261.040.343.068.330;0.3132246773711183;15.442.658.448.181.000;0.13042533777825904;8.537.719.298.245.610;0.3744613727300708;0.875557863958141;55.131.578.947.368.400;10.325.779.824.561.400;41.059.448.552.631.500;2.673.680.749.878.160;0.4473684210526316;3.625.438.596.491.220;0.1590104647583872;0.4020607797189535;20.900.078.122.968.300;0.17802652306190245;5.035.299.807.279.740;0.010954165465552033;10.242.442.144.506.000;15.043.339.434.358.800;0.0007304801033446924;1.044.635.817.978.830;0.006703121014375781;0.004600253536570676
segmento_6;0.3122245623532856;0.0;0.0;4.052.723.776.597.270;35.4;12.0;3.634.862.445.815.520;3.634.862.445.815.520;37.849.312.500.016.900;12.653.599.074.868.400;0.29941929080323054;8.451.030.660.470.490;2.232.809.555.118.520;3.818.925;177.0;215.0;661958712.0;14.286.111.313.707.500;18.0;3.970.393.998.711.930;237.0;11.740.198.330.320.500;19.688.116.420.196.700;198.0;139.0;98.0;7.860.180.316.597.850;197.485.923.642.972;-0.9037323454952411;14894071.02;0.4150939121379956;23.849.721.959.555.500;11.832.037.337.171.200;8.252.474.200.482.390;-13.614.899.993.526.500;16.518.233.748.741.800;0.10812767135822612;0.8768001470857116;0.108097666557458;0.48977088423473586;0.0958820288008185;0.945956167521399;0.9459541672013478;0.9958414821742918;0.9819844366404419;-0.6200189800420789;0.9070178051136633;0.10807141235678588;338.320.934.516.965;0.3409462564248764;19.434.796.729.001.400;0.9136317577704719;0.4185589545763882;67.664.186.903.393;1.835.185.519.973.650;0.43998776155810293;31.448.774.416.213.200;7.841.356.684.145.400;0.4619900244002479;25.791.749.702.565.400;70.453.889.707.182;0.45487296116248604;11.852.707.240.912.000;6.719.053.791.315.610;8.028.025.687.857.180;6.770.490.894.034.310;0.10579160038492508;0.02250622568899426;0.26342516778942415;0.002898460151820598;734.153.214.468.099;0.360558307595228;0.6611553012300311;11.415.473.661.423.100;36.872.457.963.581.200;4.506.784.492.288.520;3.492.156.046.157.830;0.1328516402350986;5.615.104.625.548.710;20.032.463.987.335.900;0.10211447490991837;0.1202350792435044;28.136.764.037.862.700;0.2765940232162514;3.145.016.989.847.900;0.04698497093218425;3.362.264.150.943.390;0.3171947312210751;11.541.473.834.104.600;12.056.603.773.584.900;8.793.542.735.849.050;11.663.373.452.830.100;7.344.766.373.951.780;0.19071802935010482;2.449.056.603.773.580;0.23104307582769668;0.4912877861675473;60.009.427.877.625.900;0.07586643360690515;4.361.761.728.879.420;0.006245212985329641;8.537.150.132.609.460;364.301.290.908.209;0.0013797087465621102;11.593.234.518.567.500;0.004898865774120876;0.014203351824540758
segmento_7;0.4735205605725789;0.0;0.0;387.669.328.102.769;34.199.999.999.999.900;17.1;3.743.183.805.265.240;3.743.183.805.265.240;5.277.750.000.003.290;1.835.693.975.600.180;0.2745460173651858;11.503.628.621.104.900;2.179.646.368.452.030;5.314.499.999.999.990;180.0;212.0;896775065.0;13.148.781.280.864.000;17.0;3.899.255.910.037.080;255.0;10.647.505.389.812.300;19.435.939.881.456.300;193.0;142.0;113.0;7.246.458.022.263.740;19.485.063.049.657.000;0.19109576704266634;201.774.389.625;0.4777233949042165;19.119.229.735.237.700;11.234.540.411.177.500;6.099.453.744.528.250;0.6377899062427308;13.383.325.513.844.200;0.09143707099724548;0.8718136297630645;0.09126570542647855;0.4392034212418675;0.08287445348832595;0.9543957082152219;0.9543842838438374;0.9975294225361722;0.9869651021814096;-0.6292029656155721;0.8950048217463691;0.09111576055205747;3.304.964.648.540.450;0.4156409591116204;17.688.647.592.220.600;0.8777865727565846;0.5825410092081406;6.609.929.297.080.900;1.676.562.859.644.220;0.35744240559541657;28.388.617.741.081.700;12.270.540.135.478.400;0.5194978888856226;2.309.272.728.445.940;11.283.826.587.637.500;0.3686598277410969;11.248.602.878.916.100;694.437.764.606.266;7.734.601.185.436.070;7.030.238.275.002.350;0.10274584862169535;0.02115984837187611;0.24650652293446307;0.002295433452960462;8.196.469.360.328.280;0.3479127730911702;0.6413886445525725;11.980.013.611.674.100;5.357.179.698.294.820;559.698.673.115.629;5.530.695.696.862.070;0.11150910084143754;5.666.411.473.155.690;24.649.308.079.380.900;0.10703860191796627;0.10080440304826419;4.240.285.206.630.530;0.2908298427322075;3.491.731.991.439.590;0.0349265464571049;3.494.915.254.237.280;0.29617925883366847;0.9729962654409652;12.694.915.254.237.200;15.945.780.338.983.000;16.212.169.576.271.100;16.508.125.278.483.900;0.1366454802259887;3.245.762.711.864.400;0.2750646365986785;0.5382120083502404;7.017.240.768.178.060;0.06376598043108493;43.954.270.364.343.100;0.004995766299745978;15.545.102.085.607.500;33.529.762.417.283.300;0.0011531478120253888;1.467.079.595.106.380;0.0022497512687883994;0.01845931643368562
segmento_8;0.3007912345117305;0.0;0.0;5.009.069.683.592.000;4.349.999.999.999.990;14.4;4.574.581.948.112.850;4.574.581.948.112.850;5.584.312.500.003.880;15.066.842.538.829.200;0.26723294389600155;12.271.771.803.682.300;2.197.543.888.110.460;5.627.025;171.0;198.0;867080832.0;0.9355452832750102;12.0;37.189.517.224.461.800;233.0;8.030.479.612.328.960;18.590.523.411.571.800;187.0;144.0;89.0;5.455.728.651.835.730;186.200.837.294.972;-0.5337385855650387;19509318.72;0.6521136336698308;1.099.957.377.285.870;878.485.746.795.133;2.530.678.142.673.600;-0.23207975489344906;0.7041629637859502;0.08817855382584458;0.7767989933720049;0.08817855382584458;0.42686280427041595;0.08004375398787691;0.9559107230870776;0.9559107230870776;0.9966085171605443;0.9853035743623592;-0.5242540592408499;0.7818804662663812;0.08817855382584458;29.378.298.801.370.100;0.5884572528265819;13.476.124.340.761.500;0.8189319618360265;0.7564308854732688;5.875.659.760.274.020;12.594.338.802.503.100;0.19808537940294874;23.380.565.996.339.300;1.336.609.976.408.490;0.5344515879917202;2.257.080.113.800.480;16.308.709.864.448.700;0.20550708346618635;8.804.150.505.817.900;6.965.928.265.824.300;6.084.402.015.274.500;8.687.374.200.843.250;0.1270857491303131;0.020673582617337625;0.19448148655146277;0.0027864348825639416;8.771.244.753.080.000;0.3558749505111831;0.5562484284429308;9.401.784.105.150.550;6.940.915.904.291.700;6.158.722.351.562.880;8.034.910.423.832.090;0.1403792593409034;5.470.942.847.645.110;284.647.262.842.208;0.11446432831510295;0.09876444479987204;5.650.313.510.159.320;0.2933073379939416;30.330.101.130.040.100;0.040942624877970124;6.474.825.174.825.170;0.4527849772605017;0.8800430338891877;12.335.664.335.664.300;27.820.115.454.545.400;2.484.052.467.832.160;31.518.009.955.905.200;0.13876845376845376;26.566.433.566.433.500;0.18577925570932563;0.433381267598606;4.964.885.846.892.170;0.0701574769698551;4.599.258.539.671.020;0.005717941541045224;2.751.425.693.774.750;4.774.398.042.955.460;0.0010411576151392714;0.9474761125257164;0.001803811445885287;0.010068115383479053
segmento_9;0.3214048223366047;0.0;0.0;3.804.285.849.625.110;32.699.999.999.999.900;11.25;3.473.010.221.695.290;3.473.010.221.695.290;3.420.768.750.001.420;12.227.158.176.164.200;0.3081167175419124;7.676.878.596.932.220;22.441.968.919.790.400;3.453.075;185.0;215.0;606827447.0;13.595.417.665.537.800;14.0;5.133.736.925.420.900;238.0;9.730.504.573.615.370;19.839.141.200.234.500;199.0;133.0;105.0;6.153.174.840.018.500;1.988.478.324.771.870;-0.8381943289807653;136.536.175.575;0.4378974733576759;1.813.081.245.912.490;12.071.838.323.180.200;6.560.451.207.969.320;-0.7420365732580783;13.812.493.009.897.600;0.15242817962176292;0.8006952077064067;0.15226228206829293;0.6110348248618848;0.12836520342584312;0.9238965085580986;0.9238854487212006;0.9941386978465381;0.9746269029303671;-0.49711033575639296;0.8538975035862537;0.1521171217090067;34.299.557.665.356.900;0.331530657885275;2.006.598.112.402.060;0.8660425807710468;0.4140513103080359;6.859.911.533.071.390;18.533.186.525.793.300;0.3834193701528813;3.477.715.057.544.310;51.238.584.088.095.300;0.3338671016361204;31.816.357.946.374.500;6.720.412.523.620.250;0.39697730920171753;12.093.047.501.140.200;62.254.186.485.958.100;7.544.840.033.882.840;6.010.380.801.893.960;0.09916865764572157;0.026592080265374567;0.3317443649013221;0.0028366516312850368;9.711.127.290.105.070;0.3882507754510845;0.5354146827242768;12.125.617.914.814.000;15.938.788.432.426.900;19.825.155.263.577.000;14.526.110.516.318.000;0.10738363277825697;5.176.279.405.976.950;3.229.701.302.859.660;0.12919797254300758;0.16426663191503227;11.534.043.758.615.800;0.32245545925529395;4.074.056.293.113.020;0.034969844888797647;3.928.346.456.692.910;0.30931861863723725;0.9869179738359477;14.220.472.440.944.800;6.413.214.566.929.130;8.249.503.811.023.620;5.448.949.623.578.300;0.12771872265966755;29.346.456.692.913.300;0.2310744621489243;0.49182297997209934;6.952.363.746.283.840;0.06091261923131018;45.562.314.021.104.700;0.008275232944549423;6.267.185.421.290.840;487.406.821.784.177;0.0010299442590809543;1.666.388.167.310.720;0.005976828075233466;0.011136995885650624
segmento_10;0.22467061196177476;0.0;0.0;4.234.132.901.924.410;36.449.999.999.999.900;9.75;3.758.091.270.844.810;3.758.091.270.844.810;2.945.568.750.001.000;9.512.852.302.028.430;0.3160845544896397;677.319.572.780.607;22.994.526.024.231.300;297.945;163.0;194.0;419425629.0;11.845.659.879.888.100;17.0;26.405.799.377.495.200;220.0;9.436.557.067.475.410;17.759.726.627.397.600;177.0;139.0;81.0;71.679.719.928.981;17.797.159.410.963.000;0.13889572217258003;94.370.766.525;0.47640726151299967;13.309.932.193.317.600;7.007.308.668.813.980;24.511.060.537.731.600;-0.001424830000454333;10.703.916.509.360.600;0.1340228315971096;0.7772742679743632;0.1340228315971096;0.5641558469089568;0.11542683578960147;0.9329885842014453;0.9329885842014453;0.9921163040236995;0.9731954336805781;-0.4816183313849269;0.8191498229788823;0.1340228315971096;2.602.538.411.908.110;0.3741218597940147;17.763.709.727.571.700;0.7830413938805819;0.48645830146572855;5.205.076.823.816.230;16.423.481.411.600.600;0.30110362063329466;3.167.611.643.018.400;5.005.863.313.698.830;0.37802924888225625;3.130.541.855.571.100;6.308.584.956.955.140;0.30643827299009996;7.054.976.589.639.020;6.407.944.419.272.010;4.501.131.249.056.030;10.835.578.923.962.400;0.17258743224420614;0.02654349556365868;0.1919329402700068;0.0051050534478613895;8.109.556.964.128.800;0.4108317121617914;0.4428381084375281;7.212.754.509.992.340;224.623.940.031.607;16.301.558.723.333.300;360.323.121.581.741;0.1870142381971112;5.129.341.609.919.950;25.392.854.941.455.200;0.1291175679974083;0.14912777526053467;17.091.462.244.159.800;0.33863010885597067;25.408.792.035.827.600;0.06806368830689322;41.583.941.605.839.400;0.30353242048057966;0.7865096702008632;77.299.270.072.992.700;4.806.051.678.832.110;3.657.690.583.941.600;7.198.631.893.755.060;0.2400648824006488;2.751.094.890.510.940;0.200809846022697;0.44856283357673077;33.610.241.141.971.500;0.10577370953164482;4.698.188.904.880.060;0.010345869204047727;4.712.626.049.336.670;6.930.202.978.343.960;0.0012801598183333142;0.8805406425298854;0.006832389493407364;0.007072091762055602
