id;shape_Elongation;shape_Flatness;shape_LeastAxisLength;shape_MajorAxisLength;shape_Maximum2DDiameterColumn;shape_Maximum2DDiameterRow;shape_Maximum2DDiameterSlice;shape_Maximum3DDiameter;shape_MeshVolume;shape_MinorAxisLength;shape_Sphericity;shape_SurfaceArea;shape_SurfaceVolumeRatio;shape_VoxelVolume;firstorder_10Percentile;firstorder_90Percentile;firstorder_Energy;firstorder_Entropy;firstorder_InterquartileRange;firstorder_Kurtosis;firstorder_Maximum;firstorder_MeanAbsoluteDeviation;firstorder_Mean;firstorder_Median;firstorder_Minimum;firstorder_Range;firstorder_RobustMeanAbsoluteDeviation;firstorder_RootMeanSquared;firstorder_Skewness;firstorder_TotalEnergy;firstorder_Uniformity;firstorder_Variance;glcm_Autocorrelation;glcm_ClusterProminence;glcm_ClusterShade;glcm_ClusterTendency;glcm_Contrast;glcm_Correlation;glcm_DifferenceAverage;glcm_DifferenceEntropy;glcm_DifferenceVariance;glcm_Id;glcm_Idm;glcm_Idmn;glcm_Idn;glcm_Imc1;glcm_Imc2;glcm_InverseVariance;glcm_JointAverage;glcm_JointEnergy;glcm_JointEntropy;glcm_MCC;glcm_MaximumProbability;glcm_SumAverage;glcm_SumEntropy;glcm_SumSquares;gldm_DependenceEntropy;gldm_DependenceNonUniformity;gldm_DependenceNonUniformityNormalized;gldm_DependenceVariance;gldm_GrayLevelNonUniformity;gldm_GrayLevelVariance;gldm_HighGrayLevelEmphasis;gldm_LargeDependenceEmphasis;gldm_LargeDependenceHighGrayLevelEmphasis;gldm_LargeDependenceLowGrayLevelEmphasis;gldm_LowGrayLevelEmphasis;gldm_SmallDependenceEmphasis;gldm_SmallDependenceHighGrayLevelEmphasis;gldm_SmallDependenceLowGrayLevelEmphasis;glrlm_GrayLevelNonUniformity;glrlm_GrayLevelNonUniformityNormalized;glrlm_GrayLevelVariance;glrlm_HighGrayLevelRunEmphasis;glrlm_LongRunEmphasis;glrlm_LongRunHighGrayLevelEmphasis;glrlm_LongRunLowGrayLevelEmphasis;glrlm_LowGrayLevelRunEmphasis;glrlm_RunEntropy;glrlm_RunLengthNonUniformity;glrlm_RunLengthNonUniformityNormalized;glrlm_RunPercentage;glrlm_RunVariance;glrlm_ShortRunEmphasis;glrlm_ShortRunHighGrayLevelEmphasis;glrlm_ShortRunLowGrayLevelEmphasis;glszm_GrayLevelNonUniformity;glszm_GrayLevelNonUniformityNormalized;glszm_GrayLevelVariance;glszm_HighGrayLevelZoneEmphasis;glszm_LargeAreaEmphasis;glszm_LargeAreaHighGrayLevelEmphasis;glszm_LargeAreaLowGrayLevelEmphasis;glszm_LowGrayLevelZoneEmphasis;glszm_SizeZoneNonUniformity;glszm_SizeZoneNonUniformityNormalized;glszm_SmallAreaEmphasis;glszm_SmallAreaHighGrayLevelEmphasis;glszm_SmallAreaLowGrayLevelEmphasis;glszm_ZoneEntropy;glszm_ZonePercentage;glszm_ZoneVariance;ngtdm_Busyness;ngtdm_Coarseness;ngtdm_Complexity;ngtdm_Contrast;ngtdm_Strength;classe;
segmento_31;0,484866057;0;0;24,68598165;21,3;11,85;23,72182539;23,72182539;215,8575;11,9693946;0,352692175;493,4006634;2,285770304;218,25;155;170;255923781;0,163697287;8;2,637982525;185;4,718629823;162,3285567;162;146;39;3,562964106;162,4312007;0,102068231;5758285,073;0,959235647;33,33462781;4,036738548;0,142746629;0,024786392;0,054235622;0,024506984;0,377392898;0,024506984;0,165362499;0,02388487;0,987746508;0,987746508;0,997549302;0,993873254;-0,218555551;0,251420338;0,024506984;2,007313164;0,937260995;0,280930511;0,43079907;0,968007124;4,014626328;0,256423527;0,019685651;0,855416381;7621,169278;0,785687554;1,143587161;9304,585773;0,020651918;4,054123711;76,35360825;306,1225773;19,16646334;0,252620275;0,016875317;0,079062405;0,004431861;206,6276054;0,514973361;0,307065507;4,958363556;1858,875778;7438,309145;464,9519301;0,28179254;5,348330043;36,93239777;0,091032613;0,040953608;1119,672503;0,291587191;1,887968696;0,090210744;30,625;0,638020833;0,662760417;7,229166667;1879855,375;7519474,104;469975,8547;0,299189815;8,875;0,184895833;0,420401393;3,165499574;0,115390484;3,591017899;0,004948454;1839017,701;15,50915869;0,008256375;0,080207253;0,000174314;0,016791491;'Masculino';
segmento_32;0,278823425;0;0;41,40583543;36,45;11,7;37,61532268;37,61532268;352,57875;11,54491683;0,304349154;793,0175183;2,249192608;355,995;179;201;566535850;0,786623957;11;5,988568279;221;7,188427999;188,9869802;188;121;100;4,832384233;189,2269583;-0,200059958;12747056,63;0,712981774;90,76307154;16,94146133;2,241375388;0,236718113;0,547039181;0,080858776;0,740989506;0,080794281;0,401125511;0,073951022;0,959613609;0,959609309;0,99689056;0,986535822;-0,480412216;0,712480703;0,080737847;4,101816777;0,652964536;1,143289309;0,81412976;0,800055615;8,203633554;1,062074731;0,156974489;2,089228454;9067,119328;0,573070366;2,395883329;11280,79762;0,16649425;16,93806093;70,39843256;1182,967514;4,303151712;0,061696881;0,021761311;0,369048979;0,001508167;557,7962317;0,376998112;0,539740032;17,82640214;794,1422261;12899,99263;49,25021572;0,066403308;5,191962141;206,4440543;0,137838717;0,094204273;638,1062083;0,357729136;5,987453911;0,027425274;38,66990291;0,375435951;1,058158168;16,98058252;1709602,777;27591105,75;106267,4939;0,091135383;22,2038835;0,215571684;0,476276511;8,029945812;0,045292512;4,553264814;0,006509923;1686006,238;19,69403737;0,001733372;1,132020404;0,001360536;0,026035603;'Masculino';
segmento_33;0,586124977;0;0;24,35035258;21,45;12,9;24,75409057;24,75409057;258,050625;14,27234985;0,338053513;579,8316913;2,246968754;260,5275;158;205;395442142;1,579658348;20;3,324627306;234;13,16070538;184,0003455;185;124;110;9,018224754;184,801694;-0,639514882;8897448,195;0,412631071;295,5389929;15,90522096;15,46989613;-1,810719592;2,087948348;0,106657013;0,902387846;0,106657013;0,484549727;0,094647715;0,946671493;0,946671493;0,997117378;0,984763284;-0,649088171;0,929805512;0,106657013;3,92553745;0,351554407;2,101313335;0,911137885;0,548818459;7,8510749;1,994656321;0,54865134;3,279077217;5354,449175;0,4624276;2,617280894;4777,855169;0,570896246;15,91450039;67,30866223;1080,447016;4,957777418;0,076443058;0,022916108;0,365412157;0,001909305;396,6316096;0,288779471;0,910933016;15,41938498;294,8363525;4673,153272;21,23074476;0,088898395;5,833650746;135,2670244;0,098993054;0,119613093;205,2511893;0,285130524;4,561071016;0,025316292;20,7027027;0,279766253;1,171110299;16,63513514;487546,9324;8130094,919;30980,0116;0,092717718;18,56756757;0,250913075;0,511900572;8,732247247;0,049378524;4,358501125;0,00639088;463063,1412;13,97842296;0,002391664;1,670025165;0,004059075;0,035580447;'Masculino';
segmento_34;0,392461685;0;0;33,85185093;30;11,85;31,9820262;31,9820262;334,8825;13,28555445;0,311731142;748,1101875;2,233948288;337,9275;152;189;442197734;1,413008104;22;2,549523989;218;12,21739508;170,9617152;172;123;95;9,215249052;171,5883301;-0,172470294;9949449,015;0,420368858;214,6469796;11,94166632;6,081385553;-0,451778968;1,538619852;0,106537151;0,870229334;0,106537151;0,48619492;0,094792819;0,946731424;0,946731424;0,995902417;0,982243808;-0,612759788;0,903960663;0,106537151;3,403474824;0,350364551;1,937110219;0,879606086;0,432421198;6,806949647;1,830573068;0,411289251;3,108933404;7020,153739;0,467418186;2,712580284;6313,519875;0,421065984;11,99347493;67,50655836;809,1488115;6,515570648;0,098741816;0,024055244;0,282710081;0,002743445;588,7672137;0,331854874;0,6832943;12,07032075;304,4448368;3856,992548;27,04874677;0,110106886;5,548828613;221,8283944;0,124124607;0,118816166;220,6811994;0,33169228;4,267522004;0,036093385;35,07751938;0,271918755;0,996574725;11,59689922;675154,2403;8168029,349;60931,65904;0,144252799;30,34883721;0,235262304;0,497344026;4,759597831;0,086152864;4,646900279;0,00858912;661599,1438;31,45796574;0,001646744;1,15896951;0,004532939;0,015972558;'Masculino';
segmento_35;0,202576217;0;0;49,03213132;43,35;10,5;43,91952869;43,91952869;354,710625;9,932743693;0,300176429;807,2790272;2,275880592;358,515;121;138;265966867;0,88456396;9;3,55909743;167;5,485021889;129,0101042;129;105;62;3,909233597;129,1966826;0,424515852;5984254,507;0,601695767;48,17581105;3,157298441;1,093940827;-0,479319391;0,654281305;0,160475083;0,605997042;0,160475083;0,63141746;0,134001495;0,919762458;0,919762458;0,983952492;0,959881229;-0,301135727;0,636529315;0,160475083;1,741794029;0,469416815;1,501607339;0,608554138;0,649402591;3,483588057;1,341132256;0,203689097;3,010760576;5005,001004;0,314108259;3,379389098;9587,420359;0,203941295;3,235220284;61,26308523;207,8072047;24,75368883;0,44788921;0,028279687;0,081197552;0,016145729;1331,377354;0,479961366;0,291017723;2,731653782;117,6238269;437,6651596;37,70255739;0,592027678;4,67308775;394,776416;0,139618065;0,173983306;79,91170265;0,345066886;0,896653647;0,22447733;103,3108808;0,535289538;0,504174609;2,549222798;674159,658;2664216,073;176650,3788;0,75662061;28,77202073;0,149077828;0,390135936;0,940543786;0,301782881;4,83288342;0,012112464;667343,5729;218,2668814;0,000795441;0,617220791;0,010919738;0,002198079;'Feminino';
segmento_36;0,241561095;0;0;37,39827694;32,4;8,25;33,36412744;33,36412744;249,09;9,033968721;0,333223531;574,538749;2,306550841;252,09;181;206;425317052;1,251327032;13;5,465022253;221;8,516657934;194,5107105;197;140;81;5,732336228;194,8362883;-1,258104397;9569633,67;0,464319528;126,7627378;11,35755445;3,867614136;-0,347874266;1,144045457;0,163763771;0,747900778;0,163763771;0,636822067;0,13580934;0,918118115;0,918118115;0,990366837;0,967247246;-0,437336599;0,803069344;0,163763771;3,333527845;0,348965716;1,897879318;0,776007192;0,488291882;6,66705569;1,734115547;0,326952307;3,424755189;3459,815423;0,308801805;3,405685173;5202,235987;0,34524162;11,36451267;60,71831489;693,919136;5,969101437;0,103160702;0,028281;0,30608441;0,003547549;787,1058264;0,399012584;0,493757693;11,15525679;118,8687181;1274,082521;12,23801631;0,118808888;4,979092506;274,4031417;0,135351989;0,178686184;80,15785734;0,337178218;3,437970241;0,050428422;38,50909091;0,350082645;0,654545455;9,654545455;283426,8727;3357250,236;25961,8762;0,164330808;21,49090909;0,195371901;0,446321819;4,657764675;0,066046907;4,572941906;0,009817922;273052,5243;61,49879832;0,001256534;1,288300733;0,009471631;0,0098331;'Masculino';
segmento_37;0,230570278;0;0;40,43819614;34,8;8,85;36,14004012;36,14004012;275,488125;9,323846109;0,323171287;633,5583394;2,299766421;278,73;169;192;399854991;1,08372143;12;7,189307602;214;7,566316456;179,3591379;179;113;101;5,107378537;179,6596967;-0,829146447;8996737,298;0,555658728;107,9062961;14,08575452;3,685700197;-0,815784479;0,902759001;0,149710272;0,714472143;0,149297709;0,606181378;0,126818695;0,925419906;0,925392402;0,994245196;0,975126871;-0,404820726;0,753760474;0,148936716;3,727933422;0,444777602;1,68236236;0,809224958;0,627698499;7,455866843;1,530927334;0,263117318;3,115278234;4202,485147;0,339238388;3,273612641;6883,500323;0,275733856;14,14877301;62,37778495;901,5728931;4,661292963;0,078851666;0,027854189;0,380705246;0,002561199;839,6018739;0,414447952;0,466477591;13,13756609;175,4298503;2642,855466;12,19643156;0,093509293;4,978039121;282,2602933;0,137890885;0,164009525;132,9339292;0,34074193;4,445562175;0,035221524;46,04477612;0,343617732;0,921140566;13,32835821;550989,5224;8722033,53;35103,00959;0,11865257;27,35820896;0,204165738;0,463458592;6,40047852;0,050940392;4,763377268;0,01081692;542442,9338;32,56801933;0,001210608;1,708280196;0,004072588;0,015307672;'Masculino';
segmento_38;0,388536302;0;0;35,85076053;31,65;13,35;33,632462;33,632462;368,784375;13,92932192;0,303197026;820,2398461;2,224171906;372,015;163;187;504083086;1,177701198;14;6,008147763;241;8,105364888;174,2765211;173;138;103;5,549017473;174,6071791;0,92430877;11341869,43;0,481769007;115,3611797;6,273056221;3,711076163;0,735449042;1,107809396;0,113057186;0,814496436;0,112934237;0,5066237;0,099962247;0,943553373;0,943545176;0,995652625;0,981180555;-0,54200541;0,84326546;0,112826657;2,454457444;0,393413261;1,683286782;0,891721875;0,503540809;4,908914888;1,569659767;0,305216645;2,962331945;7336,373412;0,443714371;2,840922362;7965,568767;0,312979157;6,329623805;66,8951252;417,9425426;12,76400965;0,194029206;0,025367768;0,169337229;0,005469554;857,7042046;0,419483477;0,465903576;6,755209882;308,4759721;1793,95882;62,03959469;0,211912756;5,241275812;251,242879;0,12465256;0,12457663;235,1998135;0,339908827;2,332888812;0,088311031;65,8974359;0,422419461;0,674022025;7,480769231;671215,4872;4083476,051;129036,5316;0,247297009;41,3974359;0,265368179;0,531025961;3,956912609;0,111233771;4,050521471;0,009435103;659982,205;58,7361377;0,001186026;1,301141091;0,003571188;0,013846825;'Masculino';
segmento_39;0,396481592;0;0;32,74740288;28,8;11,55;30,22900098;30,22900098;316,156875;12,98374241;0,317002367;707,9838854;2,239343634;319,0725;172;215;562196968;1,48067414;14;5,162209647;244;12,233932;198,3491996;202;132;112;6,955854556;199,1089678;-1,473623868;12649431,78;0,435669326;301,9760781;12,56912982;20,95234604;-4,184909778;2,175330483;0,12408261;0,891653106;0,12408261;0,538535667;0,108324693;0,937958695;0,937958695;0,995227592;0,979319565;-0,602535923;0,908968009;0,12408261;3,472216594;0,356433554;2,040035349;0,940906278;0,532535836;6,944433188;1,915952739;0,574853273;3,337826432;5649,104365;0,398357264;2,820074102;6178,226712;0,60260312;12,60630421;65,37176504;844,4690783;6,973754907;0,119271208;0,024357922;0,302702442;0,003066461;652,6661877;0,340110389;0,862246351;11,4162427;252,9116801;3589,751178;22,03935746;0,166283458;5,282072609;218,8690613;0,115137332;0,136379663;193,6423373;0,303227312;3,639079462;0,046212063;38,32673267;0,379472601;0,600921478;13,37623762;728222,1287;11089925,17;52129,09936;0,096182618;23,83168317;0,235957259;0,499117958;6,816594385;0,04280779;4,217707222;0,007122206;708508,3006;29,78070805;0,001541916;1,276240268;0,007427605;0,016124719;'Masculino';
segmento_40;0,252611171;0;0;65,58493695;57,45;15,75;59,13653693;59,13653693;809,4975;16,5674877;0,239334914;1755,04561;2,168067981;814,77;177;205;1315482058;1,049656877;15;3,870161373;254;9,163440917;190,2363305;189;148;106;6,36288372;190,597065;0,400797075;29598346,31;0,599236921;137,3797494;10,1039395;3,410462305;0,57070024;0,864454322;0,108420806;0,776566448;0,108420806;0,491558809;0,096218533;0,945789597;0,945789597;0,997069708;0,984511313;-0,497840327;0,797534111;0,108420806;3,148796022;0,519530599;1,544931463;0,798901206;0,701302163;6,297592044;1,436510657;0,243218782;2,673381748;17083,1114;0,471752773;2,665848359;21699,56738;0,250465852;10,12504142;67,6656357;680,7864244;7,247205883;0,109608478;0,023370919;0,236396665;0,002912232;1507,025545;0,35582443;0,57504037;10,45000758;446,4627774;4203,20579;48,90685853;0,123718331;5,356598188;572,4401499;0,136001215;0,11721943;358,9506531;0,34159293;3,375417091;0,048865722;101,4567474;0,35106141;1,067755415;10,29757785;2583497,848;23711141,05;284055,2044;0,155303729;60,08650519;0,207911783;0,462443854;4,645482324;0,072215211;4,772450266;0,00798078;2567797,498;61,6676673;0,00059781;1,789850635;0,001816717;0,010035915;'Masculino';
