"Image type","Feature Class","Feature Name","Segmentation_80-89_segment_Segment_1","Segmentation_80-89_segment_Segment_2","Segmentation_80-89_segment_Segment_3","Segmentation_80-89_segment_Segment_4","Segmentation_80-89_segment_Segment_5","Segmentation_80-89_segment_Segment_6","Segmentation_80-89_segment_Segment_7","Segmentation_80-89_segment_Segment_8","Segmentation_80-89_segment_Segment_9","Segmentation_80-89_segment_Segment_10"
"diagnostics","Versions","PyRadiomics","v3.0.1.post4+gad5b2de","v3.0.1.post4+gad5b2de","v3.0.1.post4+gad5b2de","v3.0.1.post4+gad5b2de","v3.0.1.post4+gad5b2de","v3.0.1.post4+gad5b2de","v3.0.1.post4+gad5b2de","v3.0.1.post4+gad5b2de","v3.0.1.post4+gad5b2de","v3.0.1.post4+gad5b2de"
"diagnostics","Versions","Numpy","1.19.2","1.19.2","1.19.2","1.19.2","1.19.2","1.19.2","1.19.2","1.19.2","1.19.2","1.19.2"
"diagnostics","Versions","SimpleITK","2.0.2","2.0.2","2.0.2","2.0.2","2.0.2","2.0.2","2.0.2","2.0.2","2.0.2","2.0.2"
"diagnostics","Versions","PyWavelet","1.1.1","1.1.1","1.1.1","1.1.1","1.1.1","1.1.1","1.1.1","1.1.1","1.1.1","1.1.1"
"diagnostics","Versions","Python","3.6.7","3.6.7","3.6.7","3.6.7","3.6.7","3.6.7","3.6.7","3.6.7","3.6.7","3.6.7"
"diagnostics","Configuration","Settings","{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 25.0, 'symmetricalGLCM': True, 'correctMask': True}","{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 25.0, 'symmetricalGLCM': True, 'correctMask': True}","{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 25.0, 'symmetricalGLCM': True, 'correctMask': True}","{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 25.0, 'symmetricalGLCM': True, 'correctMask': True}","{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 25.0, 'symmetricalGLCM': True, 'correctMask': True}","{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 25.0, 'symmetricalGLCM': True, 'correctMask': True}","{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 25.0, 'symmetricalGLCM': True, 'correctMask': True}","{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 25.0, 'symmetricalGLCM': True, 'correctMask': True}","{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 25.0, 'symmetricalGLCM': True, 'correctMask': True}","{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 25.0, 'symmetricalGLCM': True, 'correctMask': True}"
"diagnostics","Configuration","EnabledImageTypes","{'Original': {}}","{'Original': {}}","{'Original': {}}","{'Original': {}}","{'Original': {}}","{'Original': {}}","{'Original': {}}","{'Original': {}}","{'Original': {}}","{'Original': {}}"
"diagnostics","Image-original","Hash","b8cac6a031b6268c8b02a4ecaec8a2d283cd53a1","b8cac6a031b6268c8b02a4ecaec8a2d283cd53a1","b8cac6a031b6268c8b02a4ecaec8a2d283cd53a1","b8cac6a031b6268c8b02a4ecaec8a2d283cd53a1","b8cac6a031b6268c8b02a4ecaec8a2d283cd53a1","b8cac6a031b6268c8b02a4ecaec8a2d283cd53a1","b8cac6a031b6268c8b02a4ecaec8a2d283cd53a1","b8cac6a031b6268c8b02a4ecaec8a2d283cd53a1","b8cac6a031b6268c8b02a4ecaec8a2d283cd53a1","b8cac6a031b6268c8b02a4ecaec8a2d283cd53a1"
"diagnostics","Image-original","Dimensionality","3D","3D","3D","3D","3D","3D","3D","3D","3D","3D"
"diagnostics","Image-original","Spacing","(0.15, 0.15, 1.0)","(0.15, 0.15, 1.0)","(0.15, 0.15, 1.0)","(0.15, 0.15, 1.0)","(0.15, 0.15, 1.0)","(0.15, 0.15, 1.0)","(0.15, 0.15, 1.0)","(0.15, 0.15, 1.0)","(0.15, 0.15, 1.0)","(0.15, 0.15, 1.0)"
"diagnostics","Image-original","Size","(1163, 1145, 1)","(1163, 1145, 1)","(1163, 1145, 1)","(1163, 1145, 1)","(1163, 1145, 1)","(1163, 1145, 1)","(1163, 1145, 1)","(1163, 1145, 1)","(1163, 1145, 1)","(1163, 1145, 1)"
"diagnostics","Image-original","Mean","83.53432209276566","83.53432209276566","83.53432209276566","83.53432209276566","83.53432209276566","83.53432209276566","83.53432209276566","83.53432209276566","83.53432209276566","83.53432209276566"
"diagnostics","Image-original","Minimum","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"diagnostics","Image-original","Maximum","255.0","255.0","255.0","255.0","255.0","255.0","255.0","255.0","255.0","255.0"
"diagnostics","Mask-original","Hash","e08c55859a3ace4af3be5dd0b152feb4333c2f8c","019c79ade317ab1aa25013f361b86192c037cd88","c67a5763e6fe465b3f63c6948f8d1fe53c59a8e3","d8d6f334c999d907caa8a24e44fa9b36d3e7405f","60ec39c417d372ad6530eb4f291b8bb924176bcd","6c5170a0ffd9ecebdb6f96e4857eec4e57d8e8d8","9a721998b8086039f538eaf95d29254242fd7d0f","fea806f90b290c6672e45cc3e393881b98c148e1","8fada78b64f04749377184e3cd270e65d14687c8","a5a6a350dad615842f04af15eec3b3d6e4aadb85"
