"Image type","Feature Class","Feature Name","Segmentation_segment_auxiliar","Segmentation_segment_Segment_1","Segmentation_segment_Segment_2","Segmentation_segment_Segment_3","Segmentation_segment_Segment_4","Segmentation_segment_Segment_5","Segmentation_segment_Segment_6","Segmentation_segment_Segment_7","Segmentation_segment_Segment_8","Segmentation_segment_Segment_9","Segmentation_segment_Segment_10"
"diagnostics","Versions","PyRadiomics","","v3.0.1.post4+gad5b2de","v3.0.1.post4+gad5b2de","v3.0.1.post4+gad5b2de","v3.0.1.post4+gad5b2de","v3.0.1.post4+gad5b2de","v3.0.1.post4+gad5b2de","v3.0.1.post4+gad5b2de","v3.0.1.post4+gad5b2de","v3.0.1.post4+gad5b2de","v3.0.1.post4+gad5b2de"
"diagnostics","Versions","Numpy","","1.19.2","1.19.2","1.19.2","1.19.2","1.19.2","1.19.2","1.19.2","1.19.2","1.19.2","1.19.2"
"diagnostics","Versions","SimpleITK","","2.0.2","2.0.2","2.0.2","2.0.2","2.0.2","2.0.2","2.0.2","2.0.2","2.0.2","2.0.2"
"diagnostics","Versions","PyWavelet","","1.1.1","1.1.1","1.1.1","1.1.1","1.1.1","1.1.1","1.1.1","1.1.1","1.1.1","1.1.1"
"diagnostics","Versions","Python","","3.6.7","3.6.7","3.6.7","3.6.7","3.6.7","3.6.7","3.6.7","3.6.7","3.6.7","3.6.7"
"diagnostics","Configuration","Settings","","{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 25.0, 'symmetricalGLCM': True, 'correctMask': True}","{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 25.0, 'symmetricalGLCM': True, 'correctMask': True}","{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 25.0, 'symmetricalGLCM': True, 'correctMask': True}","{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 25.0, 'symmetricalGLCM': True, 'correctMask': True}","{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 25.0, 'symmetricalGLCM': True, 'correctMask': True}","{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 25.0, 'symmetricalGLCM': True, 'correctMask': True}","{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 25.0, 'symmetricalGLCM': True, 'correctMask': True}","{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 25.0, 'symmetricalGLCM': True, 'correctMask': True}","{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 25.0, 'symmetricalGLCM': True, 'correctMask': True}","{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 25.0, 'symmetricalGLCM': True, 'correctMask': True}"
"diagnostics","Configuration","EnabledImageTypes","","{'Original': {}}","{'Original': {}}","{'Original': {}}","{'Original': {}}","{'Original': {}}","{'Original': {}}","{'Original': {}}","{'Original': {}}","{'Original': {}}","{'Original': {}}"
"diagnostics","Image-original","Hash","","eb09347cb36ad976d44f4d277f3df99cea538546","eb09347cb36ad976d44f4d277f3df99cea538546","eb09347cb36ad976d44f4d277f3df99cea538546","eb09347cb36ad976d44f4d277f3df99cea538546","eb09347cb36ad976d44f4d277f3df99cea538546","eb09347cb36ad976d44f4d277f3df99cea538546","eb09347cb36ad976d44f4d277f3df99cea538546","eb09347cb36ad976d44f4d277f3df99cea538546","eb09347cb36ad976d44f4d277f3df99cea538546","eb09347cb36ad976d44f4d277f3df99cea538546"
"diagnostics","Image-original","Dimensionality","","3D","3D","3D","3D","3D","3D","3D","3D","3D","3D"
"diagnostics","Image-original","Spacing","","(0.15, 0.15, 1.0)","(0.15, 0.15, 1.0)","(0.15, 0.15, 1.0)","(0.15, 0.15, 1.0)","(0.15, 0.15, 1.0)","(0.15, 0.15, 1.0)","(0.15, 0.15, 1.0)","(0.15, 0.15, 1.0)","(0.15, 0.15, 1.0)","(0.15, 0.15, 1.0)"
"diagnostics","Image-original","Size","","(1111, 1041, 1)","(1111, 1041, 1)","(1111, 1041, 1)","(1111, 1041, 1)","(1111, 1041, 1)","(1111, 1041, 1)","(1111, 1041, 1)","(1111, 1041, 1)","(1111, 1041, 1)","(1111, 1041, 1)"
"diagnostics","Image-original","Mean","","90.81944505689762","90.81944505689762","90.81944505689762","90.81944505689762","90.81944505689762","90.81944505689762","90.81944505689762","90.81944505689762","90.81944505689762","90.81944505689762"
"diagnostics","Image-original","Minimum","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"diagnostics","Image-original","Maximum","","254.0","254.0","254.0","254.0","254.0","254.0","254.0","254.0","254.0","254.0"
"diagnostics","Mask-original","Hash","","ab11d6630c222fc32e603f0eb4d2106570bad2e5","53d889356f8bc3fdd8b8561a132a37740c409933","d0c05ce46ffb483c4ac1c92a03f0aca6690712ac","1bb47ed44af8f3a3a53e34c6e7d7c4f2e26ee0b8","e60c6cbc459e14d6b9765be59ebec968aa47af7b","31e457db986c0b6c0c29b328d82639da5492bb26","c250a7ce54c892aa87353b0a8b57bf8d04393348","d63bc2b1a94322fd4d7e186a059789cc535d2289","3cfe0bb61dcfc48b8083642ec90febfe72876936","88f69b079ff3ac51ed03f559380cf60565dd3027"
"diagnostics","Mask-original","Spacing","","(0.15, 0.15, 1.0)","(0.15, 0.15, 1.0)","(0.15, 0.15, 1.0)","(0.15, 0.15, 1.0)","(0.15, 0.15, 1.0)","(0.15, 0.15, 1.0)","(0.15, 0.15, 1.0)","(0.15, 0.15, 1.0)","(0.15, 0.15, 1.0)","(0.15, 0.15, 1.0)"
